per capita income,median household income,median family income,population,number of households,state_nums
23591,56529,63378,2228528,683144,4
23670,44651,54222,177966,68980,4
23670,44651,54222,177966,68980,4
23670,44651,54222,177966,68980,4
23670,44651,54222,177966,68980,4
23670,44651,54222,177966,68980,4
23670,44651,54222,177966,68980,4
23670,44651,54222,177966,68980,4
23670,44651,54222,177966,68980,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
23591,56529,63378,2228528,683144,4
23591,56529,63378,2228528,683144,4
23591,56529,63378,2228528,683144,4
23591,56529,63378,2228528,683144,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
23540,41426,52974,134613,53296,4
24775,59168,63669,420569,125428,4
56791,90839,117357,254643,102912,4
24996,39009,52454,3127,1253,4
56791,90839,117357,254643,102912,4
56791,90839,117357,254643,102912,4
56791,90839,117357,254643,102912,4
56791,90839,117357,254643,102912,4
56791,90839,117357,254643,102912,4
56791,90839,117357,254643,102912,4
56791,90839,117357,254643,102912,4
23540,41426,52974,134613,53296,4
23540,41426,52974,134613,53296,4
56791,90839,117357,254643,102912,4
23540,41426,52974,134613,53296,4
23540,41426,52974,134613,53296,4
23540,41426,52974,134613,53296,4
26700,49471,60534,147432,58598,5
24977,44683,55606,4796,2019,5
34873,62002,74559,23409,9647,5
20742,29145,41551,3552,1361,5
38022,63885,87639,5477,2504,5
39497,74456,86167,52151,17966,5
30151,58080,67732,52039,20947,5
30151,58080,67732,52039,20947,5
43634,101591,112930,293014,103780,5
15081,37340,42598,6141,1873,5
22880,37750,51875,1709,780,5
22581,40415,50000,22607,8015,5
31075,59040,73379,23276,9434,5
21940,41777,52705,160048,62439,5
18941,34391,44481,12473,4935,5
26700,49471,60534,147432,58598,5
20720,43011,54583,4383,1668,5
39497,74456,86167,52151,17966,5
40827,63594,77708,7496,3234,5
40827,63594,77708,7496,3234,5
24711,39583,53194,659,321,5
31075,59040,73379,23276,9434,5
18954,39943,48623,46850,16938,5
18954,39943,48623,46850,16938,5
19487,34520,49889,15933,5891,5
40827,63594,77708,7496,3234,5
24195,56270,64611,452030,152803,5
22897,45718,55848,41020,16586,5
32595,60651,73649,585333,225552,5
32595,60651,73649,585333,225552,5
21536,40221,53500,2376,943,5
20680,43774,50202,28308,10446,5
29793,48933,58222,12109,4881,5
19703,41910,51875,5442,1845,5
22318,38829,48080,3761,1651,5
25029,44610,57267,7332,3079,5
24058,33298,41862,6625,3059,5
24058,33298,41862,6625,3059,5
24058,33298,41862,6625,3059,5
20557,38993,45347,11913,4722,5
20557,38993,45347,11913,4722,5
39497,74456,86167,52151,17966,5
31504,61570,76104,16131,7038,5
34025,63697,79420,28091,11138,5
34025,63697,79420,28091,11138,5
22482,40813,55938,1423,559,5
23647,51641,63938,2189,839,5
22498,44308,53502,10093,3811,5
27586,60128,75978,6770,2638,5
43634,101591,112930,293014,103780,5
27654,52332,67047,15421,6293,5
27654,52332,67047,15421,6293,5
36365,56667,76000,809,388,5
24195,56270,64611,452030,152803,5
24195,56270,64611,452030,152803,5
25761,32427,50000,4245,2048,5
17187,31477,41270,5629,1173,5
24195,56270,64611,452030,152803,5
32595,60651,73649,585333,225552,5
25468,57180,66840,258780,90465,5
